Month,Job ID,Event Key,Representative Festival,Canonical Festival,Engine,Execution Enabled,Date Strategy,Cities Discovered,Expected Cities,Discovery Coverage,Min Displayed Date,Max Displayed Date,Displayed Date Spread Days,Suggested Anchor,Max Distance From Anchor,Job Status,Recommended Command,Notes
2026-09,2026-09_ananta_chaturdashi_ananta_chaturdashi,ananta_chaturdashi,Anant Chaturdashi,Ananta Chaturdashi,ANANTA_CHATURDASHI,Yes,CITY_SPECIFIC_EXACT_DATE,95,95,95/95,2026-09-25,2026-09-25,0,,,READY,"python ""festival_engines\standard_festival_engine.py"" --month 2026-09 --engine-key ANANTA_CHATURDASHI --canonical ""Ananta Chaturdashi"" --all-cities",Uses each city's exact Displayed Date from the monthly discovery CSV; no global anchor is used.
2026-09,2026-09_ekadashi_aja_ekadashi,aja_ekadashi,Aja Ekadashi,Ekadashi,EKADASHI,Yes,ANCHOR_SEARCH,95,95,95/95,2026-09-06,2026-09-07,1,2026-09-07,1,READY,"python ""festival_engines\ekadashi_cycle_scanner.py"" --cycle ""Aja Ekadashi"" --anchor 2026-09-07 --all-cities",Month-Panchang dates are used only to locate the candidate cycle; the festival engine independently determines the final observance.
2026-09,2026-09_ekadashi_parsva_ekadashi,parsva_ekadashi,Parsva Ekadashi,Ekadashi,EKADASHI,Yes,ANCHOR_SEARCH,95,95,95/95,2026-09-22,2026-09-22,0,2026-09-22,0,READY,"python ""festival_engines\ekadashi_cycle_scanner.py"" --cycle ""Parsva Ekadashi"" --anchor 2026-09-22 --all-cities",Month-Panchang dates are used only to locate the candidate cycle; the festival engine independently determines the final observance.
2026-09,2026-09_ganesha_chaturthi_ganesha_chaturthi,ganesha_chaturthi,Ganesh Chaturthi,Ganesha Chaturthi,GANESHA_CHATURTHI,Yes,CITY_SPECIFIC_EXACT_DATE,95,95,95/95,2026-09-14,2026-09-15,1,,,READY,"python ""festival_engines\standard_festival_engine.py"" --month 2026-09 --engine-key GANESHA_CHATURTHI --canonical ""Ganesha Chaturthi"" --all-cities",Uses each city's exact Displayed Date from the monthly discovery CSV; no global anchor is used.
2026-09,2026-09_krishna_jayanthi_sri_krishna_jayanthi,sri_krishna_jayanthi,Krishna Janmashtami,Sri Krishna Jayanthi,KRISHNA_JAYANTHI,Yes,ANCHOR_SEARCH,95,95,95/95,2026-09-03,2026-09-05,2,2026-09-04,1,READY,"python ""festival_engines\krishna_jayanthi_engine.py"" --month 2026-09 --anchor 2026-09-04 --window-days 2 --all-cities",Month-Panchang dates are used only to locate the candidate cycle; the festival engine independently determines the final observance.
2026-09,2026-09_pitrupaksha_begins_pitrupaksha_begins,pitrupaksha_begins,Pitrupaksha Begins,Pitrupaksha Begins,PITRUPAKSHA_BEGINS,Yes,CITY_SPECIFIC_EXACT_DATE,95,95,95/95,2026-09-26,2026-09-27,1,,,READY,"python ""festival_engines\standard_festival_engine.py"" --month 2026-09 --engine-key PITRUPAKSHA_BEGINS --canonical ""Pitrupaksha Begins"" --all-cities",Uses each city's exact Displayed Date from the monthly discovery CSV; no global anchor is used.
2026-09,2026-09_rishi_panchami_rishi_panchami,rishi_panchami,Rishi Panchami,Rishi Panchami,RISHI_PANCHAMI,Yes,CITY_SPECIFIC_EXACT_DATE,95,95,95/95,2026-09-15,2026-09-16,1,,,READY,"python ""festival_engines\standard_festival_engine.py"" --month 2026-09 --engine-key RISHI_PANCHAMI --canonical ""Rishi Panchami"" --all-cities",Uses each city's exact Displayed Date from the monthly discovery CSV; no global anchor is used.
2026-09,2026-09_sankramana_sankramana,sankramana,Kanya Sankranti,Sankramana,SANKRAMANA,Yes,CITY_SPECIFIC_EXACT_DATE,95,95,95/95,2026-09-16,2026-09-17,1,,,READY,"python ""festival_engines\sankramana_engine.py"" --month 2026-09 --canonical ""Sankramana"" --all-cities",Uses each city's exact Displayed Date from the monthly discovery CSV; no global anchor is used.
2026-09,2026-09_vamana_jayanthi_vamana_jayanthi,vamana_jayanthi,Vamana Jayanti,Vamana Jayanthi,VAMANA_JAYANTHI,Yes,CITY_SPECIFIC_EXACT_DATE,95,95,95/95,2026-09-22,2026-09-23,1,,,READY,"python ""festival_engines\standard_festival_engine.py"" --month 2026-09 --engine-key VAMANA_JAYANTHI --canonical ""Vamana Jayanthi"" --all-cities",Uses each city's exact Displayed Date from the monthly discovery CSV; no global anchor is used.
2026-09,2026-09_varaha_jayanthi_varaha_jayanthi,varaha_jayanthi,Varaha Jayanti,Varaha Jayanthi,VARAHA_JAYANTHI,Yes,CITY_SPECIFIC_EXACT_DATE,95,95,95/95,2026-09-13,2026-09-13,0,,,READY,"python ""festival_engines\standard_festival_engine.py"" --month 2026-09 --engine-key VARAHA_JAYANTHI --canonical ""Varaha Jayanthi"" --all-cities",Uses each city's exact Displayed Date from the monthly discovery CSV; no global anchor is used.
